product_id,jan_code,product_name,brand_name,manufacturer_name,category_large,category_medium,category_small,unit_price,cost_price,unit_volume,unit_measure,launch_date,product_description,is_new_product
P0152,49405955334,マルハニチロ WILDish 焼豚五目炒飯 250g,WILDish,マルハニチロ,冷凍食品,冷凍米飯,冷凍チャーハン,300,205,250,g,2020-10-22,袋のまま電子レンジ冷凍炒飯,False
P0153,49359287965,ニチレイ お弁当にGood! ミニハンバーグ 6個,お弁当にGood!,ニチレイ,冷凍食品,冷凍弁当おかず,冷凍ハンバーグ,250,142,6個,個,2007-11-05,自然解凍OKのお弁当用ハンバーグ,False
P0154,49448163330,冷凍ブロッコリー 250g,冷凍ブロッコリー,ニチレイ,冷凍食品,冷凍野菜,冷凍野菜,250,140,250,g,2005-05-20,急速冷凍のブロッコリー,False
P0155,49846075728,冷凍ほうれん草 250g,冷凍ほうれん草,ニチレイ,冷凍食品,冷凍野菜,冷凍野菜,250,156,250,g,2014-12-10,急速冷凍のほうれん草,False
P0156,49627575460,冷凍ミックスベジタブル 250g,冷凍ミックスベジタブル,ニチレイ,冷凍食品,冷凍野菜,冷凍野菜,220,139,250,g,2015-08-03,にんじん・コーン・グリーンピースのミックス,False
P0157,49883851653,ザ★から揚げ にんにく醤油味 400g,ザ★から揚げ,味の素冷凍食品,冷凍食品,冷凍おかず,冷凍唐揚げ,450,315,400,g,2026-01-11,にんにく醤油が香る新しい冷凍唐揚げ,True
P0158,49133902496,フルグラ 800g,フルグラ,カルビー,パン・シリアル,シリアル,グラノーラ,700,412,800,g,2021-10-19,ドライフルーツ入りグラノーラ,False
P0159,49127195415,フルグラ 糖質オフ 600g,フルグラ,カルビー,パン・シリアル,シリアル,グラノーラ,700,453,600,g,2024-03-16,糖質25%オフのグラノーラ,False
P0160,49780218245,ごろっとグラノーラ まるごと大豆 400g,ごろグラ,日清シスコ,パン・シリアル,シリアル,グラノーラ,550,388,400,g,2005-10-14,大豆たっぷりのグラノーラ,False
P0161,49932029056,コーンフレーク プレーン 180g,コーンフレーク,日清シスコ,パン・シリアル,シリアル,コーンフレーク,280,200,180,g,2015-06-14,サクサクのコーンフレーク,False
P0162,49536876260,オールブラン オリジナル 235g,オールブラン,日本ケロッグ,パン・シリアル,シリアル,ブランシリアル,400,265,235,g,2005-06-14,食物繊維豊富なブランシリアル,False
P0163,49749425722,ランチパック ピーナッツ 2個入,ランチパック,山崎製パン,パン・シリアル,パン,サンドイッチ,160,106,2個,個,2012-09-02,ピーナッツクリーム入りパン,False
P0164,49696142442,ランチパック たまご 2個入,ランチパック,山崎製パン,パン・シリアル,パン,サンドイッチ,160,96,2個,個,2010-02-25,たまごサラダ入りパン,False
P0165,49629769431,薄皮つぶあんぱん 5個入,薄皮パン,山崎製パン,パン・シリアル,パン,菓子パン,150,103,5個,個,2000-11-28,薄皮でつぶあんたっぷりのあんぱん,False
P0166,49811188569,超熟 食パン 6枚スライス,超熟,Pasco,パン・シリアル,パン,食パン,200,124,6枚,枚,2006-09-12,余計なものは入れない食パン,False
P0167,49916099167,ロイヤルブレッド 6枚スライス,ロイヤルブレッド,山崎製パン,パン・シリアル,パン,食パン,180,118,6枚,枚,2024-01-07,ふんわりソフトな食パン,False
P0168,49450039998,フルグラ ベリーミックス 600g,フルグラ,カルビー,パン・シリアル,シリアル,グラノーラ,750,429,600,g,2026-02-15,4種のベリーをミックスした新しいフルグラ,True
P0169,49735322989,サントリー 烏龍茶 525ml,サントリー烏龍茶,サントリー,飲料,茶系飲料,烏龍茶,150,83,525,ml,2020-10-26,中国福建省産茶葉使用の烏龍茶,False
P0170,49413653594,ヘルシア緑茶 350ml,ヘルシア,花王,飲料,茶系飲料,特定保健用食品,180,108,350,ml,2000-09-14,高濃度カテキンの特保緑茶,False
P0171,49222174681,カルピスウォーター 500ml,カルピス,アサヒ飲料,飲料,乳性飲料,乳酸菌飲料,150,107,500,ml,2003-08-04,カルピスをすっきりウォーターに,False
P0172,49948963522,デカビタC 210ml,デカビタC,サントリー,飲料,炭酸飲料,炭酸飲料,120,76,210,ml,2022-05-17,ビタミンC配合の炭酸飲料,False
P0173,49458387807,マウントレーニア カフェラッテ 240ml,マウントレーニア,森永乳業,飲料,コーヒー飲料,チルドカップコーヒー,170,117,240,ml,2015-04-15,エスプレッソ×ミルクのカフェラッテ,False
P0174,49822553369,堅あげポテト うすしお味 65g,堅あげポテト,カルビー,菓子,スナック菓子,ポテトチップス,160,98,65,g,2019-09-24,ザクッと食感の厚切りポテト,False
P0175,49278922143,サッポロポテト バーベQあじ 85g,サッポロポテト,カルビー,菓子,スナック菓子,スナック,160,95,85,g,2013-06-26,バーベキュー味のスナック,False
P0176,49765505377,プリッツ 旨サラダ 69g,プリッツ,グリコ,菓子,スナック菓子,プレッツェル,160,110,69,g,2009-12-10,野菜の旨みが凝縮したプリッツ,False
P0177,49869319022,コアラのマーチ チョコ 50g,コアラのマーチ,ロッテ,菓子,チョコレート,チョコスナック,150,104,50,g,2014-09-16,コアラの絵柄入りチョコビスケット,False
P0178,49552366446,パイの実 73g,パイの実,ロッテ,菓子,チョコレート,チョコスナック,180,115,73,g,2017-07-15,64層のサクサクパイ×チョコ,False
P0179,49521764090,創味シャンタン DX 250g,創味シャンタン,創味食品,調味料,だし・ブイヨン,中華だし,550,394,250,g,2007-10-13,万能中華調味料,False
P0180,49406137730,鶏がらスープの素 55g,丸鶏がらスープ,味の素,調味料,だし・ブイヨン,中華だし,250,139,55,g,2023-08-23,鶏がらベースの万能だし,False
P0181,49599687325,日清焼そばU.F.O. 128g,U.F.O.,日清食品,即席食品,カップ麺,カップ焼きそば,220,157,128,g,2020-03-16,濃厚ソースの焼きそば,False
P0182,49148523068,ペヤング ソースやきそば 120g,ペヤング,まるか食品,即席食品,カップ麺,カップ焼きそば,200,127,120,g,2018-06-28,からしマヨネーズ付き焼きそば,False
P0183,49231548213,S&B 濃いシチュー クリーム 172g,濃いシチュー,エスビー食品,缶詰・レトルト,レトルト食品,シチュー,280,158,172,g,2014-01-24,クリーミーなシチューの素,False
P0184,49288947717,永谷園 松茸の味お吸いもの 4袋入,永谷園,永谷園,缶詰・レトルト,スープ,お吸いもの,200,139,4袋,個,2004-02-16,松茸の香りのお吸いもの,False
P0185,49447376546,永谷園 お茶づけ海苔 8袋入,永谷園,永谷園,缶詰・レトルト,ふりかけ,お茶漬け,280,183,8袋,個,2012-11-03,あられ入りの定番お茶漬け,False
P0186,49530659742,明治R-1ドリンクタイプ 112ml,R-1,明治,乳製品,ヨーグルト,ドリンクヨーグルト,150,92,112,ml,2010-11-23,1073R-1乳酸菌のドリンクタイプ,False
P0187,49739569864,明治プロビオヨーグルト LG21 112g,LG21,明治,乳製品,ヨーグルト,機能性ヨーグルト,150,83,112,g,2002-04-21,LG21乳酸菌使用の機能性ヨーグルト,False
P0188,49997055708,日清 冷凍スパ王 ミートソース 300g,スパ王,日清食品冷凍,冷凍食品,冷凍麺,冷凍パスタ,280,201,300,g,2023-02-14,レンジで簡単ミートソースパスタ,False
P0189,49229032646,アサヒスーパードライ 生ジョッキ缶 340ml,スーパードライ,アサヒビール,飲料,ビール系飲料,ビール,250,156,340,ml,2025-12-23,まるでお店のジョッキの泡立ちを再現した新商品,True
P0190,49160286314,明治チョコレート効果 カカオ86% 70g,チョコレート効果,明治,菓子,チョコレート,ハイカカオ,300,205,70,g,2026-01-12,カカオ86%の高ポリフェノールチョコ,True
P0191,49290805000,キッコーマン いつでも新鮮しぼりたて生しょうゆ 450ml,いつでも新鮮,キッコーマン,調味料,醤油,生醤油,380,243,450,ml,2025-12-19,二重構造ボトルで新鮮さキープの生醤油,True
P0192,49322803868,マルコメ 液みそ 料亭の味 430g,液みそ,マルコメ,調味料,味噌,液体味噌,350,197,430,g,2026-02-10,液体タイプの味噌で簡単調理,True
